installation,state_type,count
Breng het nieuws,visitorProfileImageTransformation,19288
Breng het nieuws,brengHetNieuwsVideo,5999
Burgerjournalistiek,visitorProfileImageTransformation,3639
Burgerjournalistiek,burgerjournalistiekData,1671
Codetaal,visitorProfileImageTransformation,25496
Codetaal,codetaalScores,11187
De wereld binnen handbereik,visitorProfileImageTransformation,19340
De wereld binnen handbereik,Interest,967
Deel je leven,opinion,8
Delen verboden,DelenVerbodenResult,4928
Delen verboden,visitorProfileImageTransformation,4482
Draai aan je nieuws,visitorProfileImageTransformation,11885
Draai aan je nieuws,Zapp,649
Er was eens,visitorProfileImageTransformation,8136
Er was eens,Zapp,407
Filterbubbel,visitorProfileImageTransformation,4330
Filterbubbel,Interest,221
Fotostoel,visitorProfileImageTransformation,27587
Game art,opinion,24
Game design,visitorProfileImageTransformation,11343
Game design,Interest,512
Game on,visitorProfileImageTransformation,5496
Grenzen,visitorProfileImageTransformation,2756
Grenzen,grenzenEarnedCharacter,1039
Groepsfoto,groepsfotoImage,22888
Influencer,visitorProfileImageTransformation,15748
Influencer,InfluencerResult,9177
Maak Vrienden,maakVriendenResult,11438
Maak Vrienden,visitorProfileImageTransformation,8544
Maak het nieuws,maakHetNieuwsImage,3782
Maak het nieuws,visitorProfileImageTransformation,2761
Maak het shownieuws,maakHetShowNieuwsImage,2900
Maak het shownieuws,visitorProfileImageTransformation,2614
Maak het sportnieuws,visitorProfileImageTransformation,2833
Maak het sportnieuws,Interest,318
Maak je game,visitorProfileImageTransformation,5965
Maak je game,maakJeGameResult,2015
Maak vrienden,opinion,83
Mediareactor,opinion,54
Mijlpalen Delen,opinion,4
Mijlpalen Informeren,opinion,2
Mijlpalen Spelen,opinion,1
Mijlpalen verkopen,visitorProfileImageTransformation,17855
Mijlpalen verkopen,Interest,959
Nieuws of nonsens,visitorProfileImageTransformation,3578
Nieuws of nonsens,opinion,16
Nieuwspresentatie,opinion,2
Ontmoet de held,ontmoetDeHeldVideo,4988
Ontmoet de held,visitorProfileImageTransformation,4859
Pod,visitorProfileImageTransformation,11607
Pod,Interest,1589
Race door de tijd,visitorProfileImageTransformation,22135
Race door de tijd,time_score,13964
Radionieuws,opinion,13
Radioreclames,opinion,5
Reaguurders,visitorProfileImageTransformation,11838
Reaguurders,Interest,926
Rolmodellen en stereotypen,visitorProfileImageTransformation,15321
Rolmodellen en stereotypen,Zapp,799
Series kijken,visitorProfileImageTransformation,5670
Series kijken,Interest,250
Serieus grappig,visitorProfileImageTransformation,5299
Serieus grappig,Zapp,238
Spelshow,opinion,67
Studio dialoog,visitorProfileImageTransformation,11966
Studio dialoog,studioVideoVirtualSet,4263
Toon jezelf,ToonJezelfResult,6284
Toon jezelf,visitorProfileImageTransformation,5371
Verborgen verleiders,visitorProfileImageTransformation,12567
Verborgen verleiders,verborgenVerleidersScores,5004
Verhalen in Beeld,opinion,3
Verhalen in Muziek,visitorProfileImageTransformation,9762
Verhalen in Muziek,Zapp,491
Verhalen in beeld,visitorProfileImageTransformation,10897
Verhalen in beeld,opinion,42
Verleidingstechnieken,opinion,3
Verzuiling,visitorProfileImageTransformation,2195
Verzuiling,verzuilingImage,800
Waarzegster,visitorProfileImageTransformation,6676
Waarzegster,Interest,336
Wereldnieuws,opinion,1
Wisselvitrine Delen,opinion,1
Wisselvitrine Informeren,opinion,5
Wisselvitrine Verkopen,opinion,6
Wisselvitrine Vertellen,opinion,3
mobile-app-api,Zapp,35079
mobile-app-api,Interest,31716
pods,opinion,211
studio achtervolging,visitorProfileImageTransformation,26192
studio achtervolging,studioVideoVirtualSet,9455
verleidingstechnieken overtuigen,visitorProfileImageTransformation,7474
verleidingstechnieken overtuigen,verleidingstechniekenOvertuigenData,3555
verleidingstechnieken propaganda,visitorProfileImageTransformation,6788
verleidingstechnieken propaganda,verleidingstechniekenPropagandaData,2557
verleidingstechnieken reclame,visitorProfileImageTransformation,6512
verleidingstechnieken reclame,answer_score,2613